DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/25/2017,10:20,,,40.737694,-73.98049,"(40.737694, -73.98049)",EAST 23 STREET                  ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3757523,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2017,10:25,MANHATTAN,10036,40.758217,-73.98907,"(40.758217, -73.98907)",,,688       8 AVENUE                      ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3758163,PASSENGER VEHICLE,PICK-UP TRUCK,,,
09/25/2017,10:28,BROOKLYN,11226,40.652927,-73.959335,"(40.652927, -73.959335)",FLATBUSH AVENUE                 ,CATON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3757471,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/25/2017,10:30,BRONX,10451,40.82402,-73.91737,"(40.82402, -73.91737)",,,3125      PARK AVENUE                   ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3757026,PASSENGER VEHICLE,,,,
09/25/2017,10:30,BROOKLYN,11218,40.639046,-73.983665,"(40.639046, -73.983665)",,,1407      39 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3757915,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/25/2017,10:30,BROOKLYN,11222,40.72729,-73.94384,"(40.72729, -73.94384)",,,239       NORTH HENRY STREET            ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3757066,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2017,10:30,,,,,,147 AVENUE                      ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3756949,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2017,10:30,,,40.69726,-73.80575,"(40.69726, -73.80575)",97 AVENUE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3757268,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2017,10:30,,,,,,97-24 93rd St                   ,97 avenue ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3757195,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,10:30,,,40.67981,-73.83852,"(40.67981, -73.83852)",ROCKAWAY BOULEVARD              ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,,,3757746,,,,,
09/25/2017,10:30,,,40.802315,-73.949486,"(40.802315, -73.949486)",WEST 117 STREET                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3757085,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/25/2017,10:30,QUEENS,11102,40.766716,-73.928566,"(40.766716, -73.928566)",23 STREET                       ,31 AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3757020,PASSENGER VEHICLE,TAXI,,,
09/25/2017,10:30,QUEENS,11368,40.746964,-73.86348,"(40.746964, -73.86348)",,,101-08    43 AVENUE                     ,1,0,1,0,0,0,0,0,Unspecified,,,,,3757041,PASSENGER VEHICLE,,,,
09/25/2017,10:32,,,40.633564,-74.01595,"(40.633564, -74.01595)",7 AVENUE                        ,66 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3757438,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,10:35,BRONX,10455,40.814934,-73.89765,"(40.814934, -73.89765)",EAST 156 STREET                 ,SOUTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3757192,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2017,10:35,MANHATTAN,10026,40.80107,-73.9554,"(40.80107, -73.9554)",,,228       WEST 112 STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3759115,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/25/2017,10:40,QUEENS,11354,40.772346,-73.826584,"(40.772346, -73.826584)",UNION STREET                    ,29 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3757406,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,10:40,,,40.69477,-73.8248,"(40.69477, -73.8248)",123 STREET                      ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3757196,MOTORCYCLE,PASSENGER VEHICLE,,,
09/25/2017,10:40,,,40.59783,-73.965485,"(40.59783, -73.965485)",OCEAN PARKWAY                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3757233,PASSENGER VEHICLE,,,,
09/25/2017,10:41,BROOKLYN,11221,40.68789,-73.942474,"(40.68789, -73.942474)",,,470       QUINCY STREET                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3757562,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2017,10:42,BRONX,10458,40.86052,-73.89257,"(40.86052, -73.89257)",WEBSTER AVENUE                  ,EAST 189 STREET,,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,3758841,BICYCLE,,,,
